0	16
0	18
0	19
1	1
0	21
1	0
0	23
0	16
0	21
1	3
0	20
0	17
0	14
1	1
0	15
0	19
0	14
0	19
0	10
1	1
0	12
0	18
0	19
0	13
0	18
0	19
1	5
0	9
1	3
1	0
0	19
0	23
1	0
1	4
1	2
0	23
0	23
1	0
1	4
0	18
0	23
1	2
1	0
0	21
1	2
0	22
1	1
1	4
0	14
0	7
1	1
1	3
0	15
0	9
0	15
0	22
0	21
0	18
1	4
0	22
0	19
0	20
1	3
0	19
1	4
0	21
0	23
0	23
0	7
1	3
1	1
0	21
1	0
0	22
1	1
1	4
0	12
0	12
1	1
0	14
0	17
1	2
0	13
0	18
0	22
1	5
0	17
0	8
0	15
0	22
0	22
0	20
1	3
0	20
1	1
0	20
0	17
1	1
0	22
0	14
0	22
1	5
1	3
1	1
1	0
0	17
0	18
0	23
0	22
0	19
0	22
0	22
0	23
0	22
1	1
0	14
1	2
1	4
0	19
1	3
1	0
0	18
0	17
0	7
0	23
0	15
0	23
0	19
0	20
0	6
0	21
0	19
1	0
1	1
0	23
0	23
1	2
0	16
0	13
0	16
0	15
0	23
0	15
1	1
0	22
0	19
0	21
0	20
1	4
0	20
0	22
0	20
0	16
0	15
1	1
1	2
0	16
0	19
0	21
1	0
0	21
1	0
1	0
1	0
0	20
1	4
0	9
0	21
0	21
0	11
0	22
1	0
0	19
1	0
0	19
0	18
1	4
0	13
0	13
0	18
0	18
0	23
1	3
0	19
0	20
1	2
0	17
1	3
0	18
1	0
0	19
0	16
0	7
0	19
0	23
1	2
0	21
0	7
0	6
0	12
0	17
0	17
0	16
1	4
1	4
0	22
0	16
0	13
0	19
0	6
0	17
0	15
0	23
0	15
0	21
0	19
1	0
1	0
0	17
0	22
0	15
0	22
1	3
0	20
0	23
0	22
0	13
1	0
1	3
1	2
0	13
1	4
0	17
0	17
0	21
0	6
0	20
0	14
0	22
0	19
1	1
0	6
0	20
1	5
0	20
0	16
0	18
0	20
0	19
0	12
0	17
0	22
0	23
0	16
0	19
0	16
0	18
0	12
0	13
0	19
0	20
0	20
0	15
0	23
0	22
0	18
1	1
0	14
0	7
0	21
0	15
1	2
1	2
0	19
1	1
1	2
0	23
0	17
0	10
1	2
0	20
0	15
1	2
0	20
1	4
1	3
0	6
0	14
0	19
1	1
0	14
1	1
1	2
1	4
1	5
0	16
0	21
1	2
1	3
0	16
0	16
1	2
1	1
0	18
1	3
0	16
0	20
1	2
0	21
1	2
0	14
0	22
0	17
0	23
1	3
0	14
0	19
0	17
0	22
1	4
1	2
0	7
1	0
0	13
1	0
1	4
1	2
0	16
1	4
0	20
0	18
0	18
1	1
0	21
1	5
1	3
1	1
0	18
1	4
1	2
0	19
0	13
0	6
0	18
0	23
1	0
0	22
0	19
0	7
1	2
0	8
1	4
0	22
1	2
0	17
1	2
1	2
0	16
0	15
1	4
0	6
0	23
1	1
0	19
0	18
1	3
0	13
1	2
0	18
0	19
1	4
0	23
0	22
1	2
1	0
0	15
1	2
0	17
0	22
0	22
0	17
1	3
0	19
0	21
1	0
0	23
0	14
1	5
0	14
0	21
0	22
0	20
1	2
1	5
0	21
1	1
0	8
0	19
0	19
0	21
0	16
0	19
1	0
1	2
1	1
0	20
1	3
0	20
1	4
0	19
0	6
1	2
0	19
0	22
0	15
1	1
0	23
1	0
0	6
1	4
0	15
0	15
0	14
0	13
1	0
0	16
0	19
0	21
0	21
0	16
0	19
1	1
0	13
0	14
0	17
0	15
0	19
0	14
0	20
1	3
1	2
0	17
0	17
0	22
0	17
0	6
0	16
0	23
1	1
0	18
1	4
0	23
1	1
0	15
1	5
0	23
0	21
1	1
0	15
0	7
0	23
1	0
0	17
1	4
1	3
1	2
0	18
1	1
1	1
0	23
0	14
1	0
0	20
0	6
0	22
1	3
1	4
1	4
0	17
1	3
1	3
0	20
0	8
0	23
0	21
0	23
0	21
0	21
1	2
1	1
0	8
0	20
0	18
0	16
0	6
1	4
1	3
0	20
1	3
1	0
