Gender,Text,Description,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color
,On Patriots Brady fighting flu bug,,Derek Forrest,WLKYDerek,333333,0084B4,94ABDA,FFFFFF,FFFFFF
,I hope I didn t catch this flu bug,,X,EquisCuatro,333333,0084B4,DDEEF6,C0DEED,C0DEED
,Patriots Brady fighting flu bug WSBT TV SportsTalk,,NOT Steve Young,NotSteveYoung,333333,0084B4,DDEEF6,0,C0DEED
,Patriots Brady fighting flu bug WSBT TV,,listofvehicles,listofvehicles,333333,9999,EFEFEF,EEEEEE,131516
,We both have the flu,,Caro,Wusupcaro,5E412F,CE7834,78C0A8,F0A830,FCEBB6
,I m missing my senior basketball pictures senior night and my birthday is this Saturday Everyone pray that you don t get the flu,,Miss Carter,LCsoftball4ever,333333,0084B4,DDEEF6,C0DEED,C0DEED
,The flu epidemic that followed World War I killed more people than the war itself,,Noah Hodgin,NoahHodgin,333333,51B300,DDEEF6,FFFFFF,C0DEED
,Gotta check on my favorite girl she s sick with the flu,,Ms October 1st,bornceo,4E2D1D,4A1728,E5507E,CC3366,EB3D77
,Home Made Cold And Flu Remedy,,D L Marsh,barelybunny,0,FFCC4D,0,0,0
,QuettaDaCheetah aww poor thing Go get tested for the flu,,Taylor Snyder,taySnyy,0,0,81D1BA,DB1F99,ED177F
,I have the flu kidnap Zach and bring him to snuggle me,,Amber Lynn,Ihigh5sharks,E364E3,9999,291929,0,0
,Flu flu flu,,Katie,Katie E Wright,333333,0084B4,DDFFCC,BDDCAD,9AE4E8
,RT Mikmaq72 Please come into my tiny room and hack up your flu germs all over me I hope your lungs bleed,,My Nutz,NoFucksWereGave,3D1957,FF0000,7AC3EE,FFFFFF,642D8B
,Yes All week I ve been trying to get back to pre flu fitness and today s run finally felt normal RunnerProbs,,Natalie,freerangehuman1,333333,9D582E,EADEAA,D9B17E,8B542B
,Household Cleaning Tips for Cold and Flu Season,,Zop Org,zoporg,0,94D487,0,0,0
,Even when you re 35 and have the flu moms are still amazing I got the works today Thanks mom,,Sarah Wasielewski,sweetliz22,333333,0084B4,DDEEF6,C0DEED,C0DEED
,RT gaynycdad Twitter Party With NickManGold We are Fighting Cold amp Flu With NYTough sp via gaynycdad,,Kimberly Dickerson,savedonemore,39BD91,509DCD,0E0D02,0,FFFFFF
,Having the flu sucks,,kcharz,kcharz,0091FF,0366FA,FFFFFF,FFFFFF,0
,This flu is really trying to kill me,,Khan,KhanfidenceIS,F7F8FC,17EDE2,252429,181A1E,1A1B1F
,RT CockyTomBrady No need to worry about my cold 2004 AFC Championship game I had the flu and played with a temperature of 103 I had a 1,,tran tu,trantu98,333333,38543,F6F6F6,EEEEEE,ACDED6
,Cold cure Never mind your flu jabs,,John Warburton,Warblefly,FFFFFF,5.00E+00,F5BA80,0,1F031C
