User ID,Text,User Name,User Screen Name,Text Color,Link Color,Sidebar Color,Border Color,Background Color,Created At,Hour,Sleep Time
560229056201756673,Santa Clara County reports first flu death of the season Santa Clara County on Tuesday reported the first,Fremont Buzz,fremontbuzz,333333,0084B4,DDEEF6,C0DEED,C0DEED,Wed Jul 04 21:23:33 +0000 2012,21,0
560229122710851584,RT KIRO7Seattle Fifth influenza related death in Kitsap Co reported this flu season gt gt,Wild Celtic Rose,awildcelticrose,0E3F74,2FB8AD,030015,2FC9FD,0C0819,Thu Sep 30 02:19:31 +0000 2010,02,1
560229333738872832,We have had two spring like days here in Hutchinson Ks Sunshine and in upper 70 s Wouldn t you know it have had flu for a week now Uggh,Jeanette Bates,JeanetteBates2,333333,0084B4,DDEEF6,C0DEED,C0DEED,Wed Feb 22 22:24:15 +0000 2012,22,0
560229558176464898,health Santa Clara County reports first flu death of the season,San Jose Blogging,SanJoseTweets68,333333,009999,EFEFEF,FFFFFF,131516,Sat May 12 01:51:28 +0000 2012,01,1
560229697825431552,San Jose Mercury Santa Clara County reports first flu death of the season,Politic Zap,PoliticZap,333333,009999,EFEFEF,EEEEEE,131516,Wed Mar 14 04:59:12 +0000 2012,04,1
560229749969403907,Mango1531 Flu puts large numbers of elderly and infants in hosp and kills many Preventing those is a major reason to get the shot,Charles Simmins,CharlesSimmins,333333,447ED4,DDEEF6,C0DEED,C0DEED,Tue Nov 30 14:50:21 +0000 2010,14,0
560229915241361408,Pediatric flu deaths rising in Wisconsin WISN 12 News learns the number of flu deaths in Wisconsin is on the rise,Milwaukee Buzz,milwaukee buzz,333333,0084B4,DDEEF6,C0DEED,C0DEED,Tue Mar 01 07:18:35 +0000 2011,07,0
560229917099827200,RT tasalinas How to Properly Fight the Flu ReliefIsHere SheSpeaksUp Walmart ad,Kelly Stilwell,kellystilwell,3E4415,D02B55,99CC33,FFFFFF,352726,Wed Apr 29 01:19:27 +0000 2009,01,1
560230101229375488,TorayLynn I have the flu,Samantha D,Sam antha14,4A66C1,B8C5C6,0E0E0E,4A66C1,000000,Fri Jun 03 03:54:08 +0000 2011,03,1
560230322772520960,1am home from work trip Up at 8 B home w flu at 8 30 Give Q bath at 6pm M throws up B throws up in bathroom watching Q while I clean,Kyley Leger,kyleyleger,333333,9D582E,EADEAA,D9B17E,8B542B,Tue Oct 07 15:15:51 +0000 2008,15,0
560230690126458880,RT 7SealsOfTheEnd WARNING Flu Shot Drug Pandemrix Will Destroy Your Life,nanah,atestafyr,333333,B300B3,DDEEF6,C0DEED,C0DEED,Sat Feb 25 09:19:57 +0000 2012,09,0
560230757692874752,BuzzOnBroad He has the flu,cvl,CPVL711,333333,0084B4,DDEEF6,C0DEED,C0DEED,Tue Oct 25 15:38:50 +0000 2011,15,0
560230908460924928,kevinmanwarren it also keeps you disease free AAAAAALLLL through flu season,Erik Latshaw,eriklatshaw,333333,0084B4,DDEEF6,C0DEED,C0DEED,Mon Jun 22 22:47:24 +0000 2009,22,0
560231054129106945,I have the flu but I also have a Banquet pot pie in the microwave Everything s coming up Rachel,Hot Dog Wiener,googleymoogley,333333,E62B60,A0C5C7,000000,709397,Wed Mar 04 21:25:37 +0000 2009,21,0
560231074639675392,First Flu Related Death Reported in Santa Clara Co SanFrancisco,California 24 7 Newz,CA247Newz,333333,009999,EFEFEF,EEEEEE,131516,Mon Oct 04 18:10:16 +0000 2010,18,0
560231106218172417,I dropped a ton of weight during that flu but the Earth safari ticket was non refundable,Terry D Johnson,terrydjohnson,333333,009999,EFEFEF,000000,131516,Sat Feb 27 04:09:56 +0000 2010,04,1
560231342638919680,I don t have strep throat or the flu so I guess today wasn t as bad as I thought,Alex Hero of Winds,AlexUnchained,333333,0084B4,DDEEF6,C0DEED,C0DEED,Mon Oct 24 22:52:54 +0000 2011,22,0
560231379410358272,BrandonYonley lol I have the flu,Jay Eddy,jeddy345,333333,0084B4,DDEEF6,C0DEED,C0DEED,Mon Oct 15 19:33:31 +0000 2012,19,0
